symbol,strategy,score,reasons,time,interval,entry_price,SL,TP,result,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower,ADX
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,07/02/2024 2:00,1d,44349.6,42551.16069,47946.47862,TP Hit,43098.96,44396.5,42788,44349.6,34392.59915,76.29350812,228.4702509,-14.16206831,242.6323192,11.77394795,43188.62881,42662.77729,2515.432519,509.3508987,1386.125338,232.7907896,40108.194,42815.59309,43009.38657,-0.032498653,44407.96026,43150.244,41892.52774,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,08/02/2024 2:00,1d,45288.65,43471.56959,48922.81082,Still Open,44349.6,45614.3,44331.1,45288.65,45439.62231,82.41646813,403.2478727,69.3199199,333.9279528,12.51568397,43713.63411,42864.7675,4192.669111,865.7728533,1378.773528,226.1540467,40365.49236,42854.05024,43364.11848,-0.003741922,45702.09056,43605.756,41509.42144,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,09/02/2024 2:00,1d,47132.77,45083.23551,51231.83898,Still Open,45288.66,48200,45242.12,47132.77,73503.481,89.06946441,682.6957774,191.9950914,490.700686,14.55545642,44568.41808,43193.07538,6386.617472,1478.784267,1491.566847,201.7701854,40785.39697,42959.0385,43913.99438,0.036877016,47709.04274,44515.734,41322.42526,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,12/02/2024 2:00,1d,49917.27,47812.73166,54126.34668,SL Hit,48300,50334.82,47710.01,49917.27,59009.96705,94.20990649,1481.646095,704.2064389,777.439656,20.85685244,47052.86403,44371.69244,6043.260843,2679.977619,1534.776284,115.4511729,42961.99016,43180.77853,45854.31667,0.206446655,50699.58442,47677.954,44656.32358,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,14/02/2024 2:00,1d,51795.17,49474.26278,56436.98444,SL Hit,49699.6,52043.71,49225.01,51795.17,57046.37401,93.38038903,1989.615501,1117.9738,871.6417005,25.80586986,48734.70164,45321.04143,5651.249423,3066.852441,1661.829449,118.7727613,45014.09412,43445.69576,47399.82229,0.344901742,52318.24671,49492.622,46666.99729,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,26/02/2024 2:00,1d,54476.47,51908.5577,59612.29459,SL Hit,51728.85,54910,50901.44,54476.47,51256.72199,81.67355804,2143.472688,2145.23377,-1.761082155,34.56042971,52207.66634,49458.53112,5205.795725,985.183814,1609.639559,233.2470662,50521,44431.28643,52006.07514,0.703071125,54564.11986,51961.222,49358.32414,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,27/02/2024 2:00,1d,57037.34,54425.03084,62261.95832,TP Hit,54476.48,57588.15,54450.13,57037.34,67194.98562,88.32296339,2428.84888,2201.956792,226.8920882,36.54881985,53415.08476,50041.51641,9324.915749,1875.118436,1718.80959,234.6668045,50608.78,44660.0357,52706.59448,0.713981527,57773.46387,53111.006,48448.54813,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,28/02/2024 2:00,1d,62432.1,59266.5013,68763.2974,SL Hit,57037.35,64000,56691.85,62432.1,118763.4698,93.90937114,3055.106252,2372.586684,682.5195677,39.38656056,55669.33857,50994.63823,16112.83144,3649.083687,2118.048191,212.6785176,50887.9548,45212.30952,54056.53181,0.754562976,63505.01172,55448.596,47392.18028,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,04/03/2024 2:00,1d,68245.71,64436.65401,75863.82199,SL Hit,63113.97,68499,62300,68245.71,84835.16005,90.34209135,4641.629171,3532.290964,1109.338208,51.46657626,62238.38298,55158.10016,10076.14129,5475.775856,2395.052725,113.3655894,54377.01729,46428.21679,59979.83029,1.042883264,68411.23864,63373.168,58335.09736,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,11/03/2024 2:00,1d,72078.1,66210.98837,83812.32327,Still Open,68955.88,72800,67024.96,72078.1,75292.82573,82.8880146,5315.565667,4729.205995,586.3596722,54.82934794,68089.21371,60707.91243,7009.56176,3079.441841,3048.843967,131.332096,62612.00225,48570.19759,66938.30076,1.303341156,72363.70288,68858.922,65354.14112,
