symbol,strategy,score,reasons,time,interval,entry_price,SL,TP,result,cross_line_time,PnL_%,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-01 21:00:00,1h,43517.99,43221.69890306122,44110.57219387755,TP Hit,2024-01-01 23:45:00,1.36,43111.1,43550.0,43103.64,43517.99,1947.61533,87.84658685112133,172.54118054880382,96.71169657618933,75.8294839726145,23.9124623244794,42988.83377900168,42687.4447268338,1183.68612742408,278.52440516446416,223.60054111994603,215.67092655497024,42476.29000992537,42514.021726826366,42859.5799047619,0.0293272066127218,43581.84106371204,42989.998,42398.15493628796
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-01 22:00:00,1h,43687.86,43383.18443877551,44297.21112244898,SL Hit,2024-01-01 22:20:00,-0.7,43517.98,43829.99,43510.71,43687.86,2905.07295,89.8657742977611,226.47806647133257,122.66497055521798,103.8130959161146,26.96019801789597,43163.59033425126,42764.39974784659,1516.0954420617345,382.095820717783,230.43478818280693,169.7651374100741,42626.60940853581,42573.46784274989,42985.61571428572,0.0375481408201446,43929.00772103088,43170.96000000001,42412.91227896914
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-02 01:00:00,1h,44179.55,43788.52915816327,44961.59168367348,TP Hit,2024-01-02 01:00:00,1.77,43529.94,44184.1,43529.93,44179.55,3475.97051,86.64816016339995,339.1286469029001,208.3782068050376,130.75044009786248,33.45991543153179,43550.34045351225,42983.64225501999,977.2704008700676,522.0080421858098,270.2954882061318,114.9112549575586,43116.741509916814,42702.39152672436,43331.3859047619,0.0658408105471123,44195.54320043504,43706.908,43218.27279956497
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-02 02:00:00,1h,45056.0,44573.43897959184,46021.12204081633,SL Hit,2024-01-03 11:20:00,-1.07,44179.55,45200.0,44148.34,45056.0,6986.25967,92.4626291390862,453.5572769355858,257.41402083114724,196.1432561044386,36.54740015204631,43926.75534013419,43143.05438924923,2269.604166792298,720.4650944617453,326.1072390485512,188.6242325707811,43308.86603813179,42935.98060996992,43592.90971428571,0.0815353265263169,45149.31208339615,44014.51,42879.70791660385
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-02 04:00:00,1h,45378.96,44807.53033163265,46521.8193367347,SL Hit,2024-01-02 01:35:00,-1.26,44855.96,45381.42,44855.95,45378.96,3016.04235,86.96689368115565,611.5423550214764,370.5867222191422,240.9556328023342,42.27671935084948,44464.03237882548,43436.673562437216,2654.540670534421,860.9324208631753,364.2702724449245,121.91175920504418,43898.502,43139.20213774248,44066.674666666666,0.1183974521114643,45927.35033526721,44600.08,43272.80966473279
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-02 05:00:00,1h,45402.38,44812.21579081632,46582.70841836734,SL Hit,2024-01-02 01:35:00,-1.3,45378.96,45500.0,45131.1,45402.38,2693.12081,87.14004040763584,676.530722114243,431.7755221981624,244.75519991608056,44.912374769540826,44698.61928411911,43587.88174994205,1788.2359089117815,861.977899719266,364.6009672702871,99.64438255245813,44195.0856,43214.91700833568,44305.22780952381,0.1386854711601056,45868.68795445589,44974.57,44080.45204554411
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-02 10:00:00,1h,45759.3,45084.57543367347,47108.749132653065,SL Hit,2024-01-02 01:00:00,-1.47,45455.52,45852.93,45326.6,45759.3,3323.21707,84.91540685362892,756.9273091381256,631.5816587817072,125.34565035641832,55.17983285427375,45260.60027933687,44176.34489026613,928.7403045080572,424.07440823644833,359.2528838629122,163.25347886302382,45101.155649408,43494.49423025677,45096.18095238095,0.2104405528517572,45812.94215225403,45348.572,44884.20184774597
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-04 16:00:00,1h,43676.07,43190.23806122449,44647.73387755102,TP Hit,2024-01-04 20:35:00,2.22,43346.67,43753.15,43250.0,43676.07,2649.8067,77.68086188455774,-89.03043682868883,-224.84532893385077,135.8148921051619,32.51488334789936,43304.46760562159,43288.09834467505,823.4388986700214,265.44671338245786,411.87841937990487,154.0312680420429,41314.88631820926,43651.58084305795,43201.28276190476,-0.0858447605762062,43741.809449335015,43330.09,42918.37055066499
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-04 17:00:00,1h,44051.1,43514.62239795918,45124.05520408163,SL Hit,2024-01-05 01:45:00,-1.22,43676.07,44329.99,43608.0,44051.1,5051.47874,84.6904953710507,-15.512837283262344,-182.9788306037331,167.46599332047074,31.170419565890292,43491.1257042162,43346.790779700044,1232.2995600497525,387.3936603751795,434.0292465670544,177.98215047414703,41509.94741275252,43660.02418439103,43325.14923809525,-0.0716140860729349,44141.80778002488,43525.658,42909.50821997513
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-07 15:00:00,1h,44409.31,44105.52831632653,45016.87336734694,SL Hit,2024-01-07 15:40:00,-0.68,44088.63,44449.98,44082.66,44409.31,2234.29499,81.23193344217208,85.95969241655985,59.698789906184814,26.260902510375036,10.082650341280656,44118.02922691712,43978.8048798961,675.3122283051198,142.71462511663714,215.1497763216412,244.9381723244616,43524.30742133012,43712.32779552085,44061.338,0.0197191983952531,44429.24411415256,44091.588,43753.93188584744
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-08 13:00:00,1h,44635.99,44068.31125,45771.3475,TP Hit,2024-01-08 18:00:00,2.54,44088.86,44688.0,43950.0,44635.99,3426.18407,77.2788547481611,33.304196871795284,-34.31374525983606,67.61794213163134,18.476668176402985,44055.559917144274,43936.48397969949,1254.521005287068,358.12316947597253,341.42205733025867,172.19076594217782,43287.10521429376,43731.949986646585,43904.591523809526,-0.0134475560005378,44684.93650264353,44057.676,43430.41549735647
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-08 14:00:00,1h,45111.09,44471.772091836734,46389.72581632653,TP Hit,2024-01-08 18:35:00,2.83,44636.0,45200.0,44350.0,45111.09,7517.5607,83.7040317801704,121.93568875590428,-3.063858456687996,124.99954721259226,20.132022574059665,44319.44243785821,44026.838288953375,2067.846154370942,502.3419730112616,377.7490532352402,202.85696946431491,43343.14100572201,43759.567713671626,44076.846666666665,-0.0047224079204687,45318.90707718547,44284.984,43251.060922814526
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-08 19:00:00,1h,45648.0,44964.13125,47015.7375,SL Hit,2024-01-08 13:00:00,-1.5,44940.31,45668.88,44903.86,45648.0,4294.58934,82.36925401229182,330.7726056542815,172.08082668359742,158.69177897068408,27.547384953215648,44954.32434804643,44372.98209467146,1222.668696020075,602.228073541131,422.11025276460657,111.2838512651469,43915.04523326737,43816.17478012163,44728.43647619048,0.0501876330752836,45660.70034801004,45049.366,44438.03165198997
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-08 20:00:00,1h,46970.01,46181.88413265307,48546.26173469388,SL Hit,2024-01-08 13:00:00,-1.68,45648.01,46995.0,45648.0,46970.01,10702.46628,90.88945660445356,488.1692384025009,235.29850902737812,252.8707293751228,30.583768599731798,45458.24576103482,44572.75347200443,3244.502395761141,879.8614319696721,488.1738061385632,237.35880815993875,44090.42870994063,43900.00892625545,45069.19809523809,0.0697854939697741,47083.303197880574,45461.052,43838.80080211943
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-10 20:00:00,1h,46527.33,45626.70895408164,48328.57209183674,SL Hit,2024-01-10 20:10:00,-1.94,46401.88,46633.86,45840.0,46527.33,4249.44238,69.25381055713454,-87.12558099137823,-187.7738981672363,100.64831717585808,47.50771162903048,45817.47615133006,45811.86873563039,2537.392429922562,591.0943556948309,637.8129761234425,163.4997957322928,44300.36,44467.88781051617,45602.94419047618,-0.0683253003212777,47002.84021496128,45734.144,44465.44778503872
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-11 00:00:00,1h,46902.69,45613.05696428572,49481.956071428576,SL Hit,2024-01-11 17:25:00,-2.75,45946.0,46948.98,45760.45,46902.69,6635.62295,69.26217675871473,87.49328534689994,-59.714450410353066,147.207735757253,41.88774652474429,46227.24839163177,45966.93585910969,1335.6599200711498,679.9322714309192,780.6686911979813,108.66599292571787,44614.323758080005,44564.762761653685,45998.98866666666,-0.0315080359497075,47066.26996003558,46398.44,45730.61003996443
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-11 16:00:00,1h,48571.22,47844.49678571429,50024.66642857143,SL Hit,2024-01-11 00:00:00,-1.5,47325.21,48969.48,47215.0,48571.22,15868.93224,86.84922392524037,402.49326837117405,211.30783044121088,191.1854379299632,22.83446237427542,47328.53128960415,46609.72638370309,2381.908296526264,838.7428013242617,642.8384563135953,167.32004347390756,45691.232092,44804.927642039125,46955.34742857143,0.0637742852720119,48644.14614826313,47453.192,46262.23785173686
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-15 20:00:00,1h,43015.82,42584.76025510204,43877.93948979592,SL Hit,2024-01-15 22:10:00,-1.0,42696.57,43400.43,42696.57,43015.82,7891.28853,67.56342642891413,-9.269836671337544,-49.23411377409039,39.964277102752845,22.570442571579992,42669.60309109032,42638.95871761205,1180.6409120485914,246.65847320552425,317.5749305452565,177.29336207344926,42211.0026,44585.154936577535,42633.62333333333,-0.0147213342019705,43132.92045602429,42542.6,41952.2795439757
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-16 17:00:00,1h,43252.67,42790.20033163265,44177.60933673469,SL Hit,2024-01-17 04:30:00,-1.07,42690.0,43314.73,42543.01,43252.67,5566.03085,65.57418586553774,80.80802655818843,59.179332979556506,21.628693578631925,14.962870251891248,42952.54157479583,42826.75924138234,847.2399210255971,180.38904658688924,342.0460191454243,92.2116453053956,42050.0,44511.33254383982,42922.724285714285,0.0216395356349938,43384.6519605128,42961.032,42537.4120394872
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-16 23:00:00,1h,43434.71,42892.95614795918,44518.21770408163,SL Hit,2024-01-16 18:35:00,-1.25,43200.01,43578.01,43185.01,43434.71,2305.15993,70.86438982033084,136.68217811388604,99.6561640753691,37.02601403851693,11.74410240476974,43181.37075391263,42967.90727658995,592.1433851254696,221.05086234387448,333.2207103392963,135.92423576693136,42305.5241865216,44493.52484458104,43115.87542857143,0.0347068745768628,43469.185692562736,43173.114,42877.04230743727
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-19 20:00:00,1h,41808.08,41225.73346938776,42972.77306122449,SL Hit,2024-01-22 03:10:00,-1.39,41239.57,41979.0,41006.61,41808.08,4197.78344,66.2974239689418,-177.8680143550082,-237.55916197452976,59.69114761952156,40.77835131957658,41237.82849818301,41404.579612481655,1850.0744262820665,394.8486055589892,417.5959063320958,96.82670564863682,40280.0,44191.614730749054,41222.34066666667,-0.0856993184893914,41986.37321314103,41061.336,40136.29878685896
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,2024-01-24 12:00:00,1h,40352.42,39881.47625,41294.3075,SL Hit,2024-01-24 14:05:00,-1.17,40024.82,40555.0,39985.49,40352.42,2438.24395,80.2201792451896,104.47461076061882,1.3661019125486185,103.1085088480702,29.31500852382842,40002.9495135373,39770.84956650836,649.2244160499395,214.45412672817943,336.3060974386722,164.81499140534834,39773.6471,43632.45122831253,39924.84085714286,0.000710415115574,40364.78220802497,40040.17,39715.55779197503
